run_id,state_from_id,state_to_id,org_from,org_to,type_from,type_to,combo,edge,direction,sig_hash,sig_json,n_esmos,mean_support,min_support,max_support,time_s,n_state_pairs,source,computed_at
Tribe::peace::norm1000::Chief::peace::norm1000,Tribe::peace::norm1000,Chief::peace::norm1000,Tribe,Chief,peace,peace,pp,Tribe-Chief,up,b49994bfac48927594d02eaffe2c262f,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1}",975,5.92,4,8,69.2,1,computed,2026-06-01T19:23:37.128277+00:00
Tribe::peace::norm1000::Chief::conflict::norm1000,Tribe::peace::norm1000,Chief::conflict::norm1000,Tribe,Chief,peace,conflict,pc,Tribe-Chief,up,e3ffccda3770baeb82ea3c919f499fe1,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1}",1307,6.84,5,9,99.6,1,computed,2026-06-01T19:25:16.795211+00:00
Tribe::conflict::norm1000::Chief::peace::norm1000,Tribe::conflict::norm1000,Chief::peace::norm1000,Tribe,Chief,conflict,peace,cp,Tribe-Chief,up,60e09034c0ecbe5af9e64cab4a5da53e,"{""Res"": 1, ""C"": -1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1}",1079,7.36,5,9,86.7,1,computed,2026-06-01T19:26:43.496645+00:00
Tribe::conflict::norm1000::Chief::conflict::norm1000,Tribe::conflict::norm1000,Chief::conflict::norm1000,Tribe,Chief,conflict,conflict,cc,Tribe-Chief,up,836d299322165b884326d5fbced9e70a,"{""Res"": -1, ""C"": -1, ""X"": -1, ""G"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1}",1184,6.2,4,8,102.5,1,computed,2026-06-01T19:28:26.057990+00:00
Chief::peace::norm1000::Tribe::peace::norm1000,Chief::peace::norm1000,Tribe::peace::norm1000,Chief,Tribe,peace,peace,pp,Tribe-Chief,down,f81676d5b742d861701f617630407dfe,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1}",837,5.9,4,8,70.8,1,computed,2026-06-01T19:29:36.825630+00:00
Chief::peace::norm1000::Tribe::conflict::norm1000,Chief::peace::norm1000,Tribe::conflict::norm1000,Chief,Tribe,peace,conflict,pc,Tribe-Chief,down,7867cf93e9aa3aa2c7ce8fe1993cdd57,"{""Res"": -1, ""C"": 1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1}",1843,6.33,5,9,146.7,1,computed,2026-06-01T19:32:03.531650+00:00
Chief::conflict::norm1000::Tribe::peace::norm1000,Chief::conflict::norm1000,Tribe::peace::norm1000,Chief,Tribe,conflict,peace,cp,Tribe-Chief,down,a28c51a78a832683f6f6f102db0d68ea,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1}",1083,6.88,6,9,103.4,1,computed,2026-06-01T19:33:46.900373+00:00
Chief::conflict::norm1000::Tribe::conflict::norm1000,Chief::conflict::norm1000,Tribe::conflict::norm1000,Chief,Tribe,conflict,conflict,cc,Tribe-Chief,down,2d3284a41ea21275edeb392dd8355418,"{""Res"": 1, ""C"": 1, ""X"": 1, ""G"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1}",1336,5.62,4,8,1985.0,1,computed,2026-06-01T20:06:51.941267+00:00
Tribe::peace::norm1000::State::peace::norm1000,Tribe::peace::norm1000,State::peace::norm1000,Tribe,State,peace,peace,pp,Tribe-State,up,2157b264d3ea7d6f0e37e2d696c9c3a2,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": -1, ""G"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",631,7.64,6,10,126.0,1,computed,2026-06-01T20:08:57.945461+00:00
Tribe::peace::norm1000::State::conflict::norm1000,Tribe::peace::norm1000,State::conflict::norm1000,Tribe,State,peace,conflict,pc,Tribe-State,up,b19ee6f27e0ce3a5a8f600bb71aa67af,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",595,7.28,6,9,120.7,1,computed,2026-06-01T20:10:58.647293+00:00
Tribe::conflict::norm1000::State::peace::norm1000,Tribe::conflict::norm1000,State::peace::norm1000,Tribe,State,conflict,peace,cp,Tribe-State,up,676b25e6dfa724bf471bf3234b81bb5a,"{""Res"": 1, ""C"": -1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",521,8.24,6,10,108.9,1,computed,2026-06-01T20:12:47.602748+00:00
Tribe::conflict::norm1000::State::conflict::norm1000,Tribe::conflict::norm1000,State::conflict::norm1000,Tribe,State,conflict,conflict,cc,Tribe-State,up,87739bb1498b8d53410656efae60afd4,"{""Res"": -1, ""C"": -1, ""X"": -1, ""G"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",380,7.01,5,9,75.7,1,computed,2026-06-01T20:14:03.330294+00:00
State::peace::norm1000::Tribe::peace::norm1000,State::peace::norm1000,Tribe::peace::norm1000,State,Tribe,peace,peace,pp,Tribe-State,down,5e3ac486a3a18c46b6d46a2bbaaab881,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": 1, ""G"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",1214,6.71,5,10,219.7,1,computed,2026-06-01T20:17:43.035731+00:00
State::peace::norm1000::Tribe::conflict::norm1000,State::peace::norm1000,Tribe::conflict::norm1000,State,Tribe,peace,conflict,pc,Tribe-State,down,ceeb4bf8e242498dfb63cf30c6b0928a,"{""Res"": -1, ""C"": 1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",1666,6.43,5,10,300.9,1,computed,2026-06-01T20:22:44.030999+00:00
State::conflict::norm1000::Tribe::peace::norm1000,State::conflict::norm1000,Tribe::peace::norm1000,State,Tribe,conflict,peace,cp,Tribe-State,down,b0c5aeed8b8854bb0cd5295fa5d68ad4,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",966,6.77,5,9,182.7,1,computed,2026-06-01T20:25:46.758063+00:00
State::conflict::norm1000::Tribe::conflict::norm1000,State::conflict::norm1000,Tribe::conflict::norm1000,State,Tribe,conflict,conflict,cc,Tribe-State,down,bf2dbbffba3295c188b02911e0ce73b5,"{""Res"": 1, ""C"": 1, ""X"": 1, ""G"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",1145,5.81,4,9,222.1,1,computed,2026-06-01T20:29:28.848114+00:00
Chief::peace::norm1000::ChiefState::peace::norm1000,Chief::peace::norm1000,ChiefState::peace::norm1000,Chief,ChiefState,peace,peace,pp,Chief-ChiefState,up,cdb644f4afae38ca818192af82cf0a3f,"{""C"": -1, ""C_Res"": -1, ""X"": -1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",763,8.78,7,10,156.5,1,computed,2026-06-01T20:32:05.417400+00:00
Chief::peace::norm1000::ChiefState::conflict::norm1000,Chief::peace::norm1000,ChiefState::conflict::norm1000,Chief,ChiefState,peace,conflict,pc,Chief-ChiefState,up,0687dd8bf5bf458944e720a92cfab471,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",1547,8.45,6,10,270.8,1,computed,2026-06-01T20:36:36.223878+00:00
Chief::conflict::norm1000::ChiefState::peace::norm1000,Chief::conflict::norm1000,ChiefState::peace::norm1000,Chief,ChiefState,conflict,peace,cp,Chief-ChiefState,up,8a3ba4abd504f41b6f26d77d06f7a76b,"{""Res"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",575,10.33,8,12,366.6,1,computed,2026-06-01T20:42:42.848044+00:00
Chief::conflict::norm1000::ChiefState::conflict::norm1000,Chief::conflict::norm1000,ChiefState::conflict::norm1000,Chief,ChiefState,conflict,conflict,cc,Chief-ChiefState,up,82781dec4487dfe6bfa4e7017ebc7178,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": -1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",1628,8.95,7,11,271.3,1,computed,2026-06-01T20:47:14.245300+00:00
ChiefState::peace::norm1000::Chief::peace::norm1000,ChiefState::peace::norm1000,Chief::peace::norm1000,ChiefState,Chief,peace,peace,pp,Chief-ChiefState,down,ba8850a61960581ea4e91b7131ffe741,"{""C"": 1, ""C_Res"": 1, ""X"": 1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",1274,7.52,5,10,226.9,1,computed,2026-06-01T20:51:01.141372+00:00
ChiefState::peace::norm1000::Chief::conflict::norm1000,ChiefState::peace::norm1000,Chief::conflict::norm1000,ChiefState,Chief,peace,conflict,pc,Chief-ChiefState,down,931a0b4b5dc8f68b02a522c4c86c1eaf,"{""Res"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",1778,8.22,6,12,298.5,1,computed,2026-06-01T20:55:59.726945+00:00
ChiefState::conflict::norm1000::Chief::peace::norm1000,ChiefState::conflict::norm1000,Chief::peace::norm1000,ChiefState,Chief,conflict,peace,cp,Chief-ChiefState,down,ccdad0608efc2d345145d04e948e2963,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",577,6.89,5,9,114.1,1,computed,2026-06-01T20:57:53.875903+00:00
ChiefState::conflict::norm1000::Chief::conflict::norm1000,ChiefState::conflict::norm1000,Chief::conflict::norm1000,ChiefState,Chief,conflict,conflict,cc,Chief-ChiefState,down,f380d9a7bbed4edddfa79fb8452cd371,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": 1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",991,7.66,6,11,2088.8,1,computed,2026-06-01T21:32:42.676135+00:00
State::peace::norm1000::ChiefState::peace::norm1000,State::peace::norm1000,ChiefState::peace::norm1000,State,ChiefState,peace,peace,pp,State-ChiefState,up,775a0ee3aef5d5f61acca8345442443b,"{""C"": -1, ""C_Res"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": 1}",605,6.41,5,9,50.9,1,computed,2026-06-01T21:33:33.580468+00:00
State::peace::norm1000::ChiefState::conflict::norm1000,State::peace::norm1000,ChiefState::conflict::norm1000,State,ChiefState,peace,conflict,pc,State-ChiefState,up,7d245b423bc01d6ef560c56edf696384,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""L"": -1, ""I_Res"": -1, ""I"": -1}",1358,7.46,6,11,95.0,1,computed,2026-06-01T21:35:08.625660+00:00
State::conflict::norm1000::ChiefState::peace::norm1000,State::conflict::norm1000,ChiefState::peace::norm1000,State,ChiefState,conflict,peace,cp,State-ChiefState,up,4de2d0e0ba8ae86941487c171005736a,"{""Res"": 1, ""C"": -1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": 1}",939,10.57,8,12,58.7,1,computed,2026-06-01T21:36:07.306101+00:00
State::conflict::norm1000::ChiefState::conflict::norm1000,State::conflict::norm1000,ChiefState::conflict::norm1000,State,ChiefState,conflict,conflict,cc,State-ChiefState,up,176b32414a3b58188a0d408b9d9de211,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""H"": 1, ""H_Res"": 1, ""P_H"": 1, ""I_Res"": -1, ""I"": -1}",1201,6.53,5,9,105.5,1,computed,2026-06-01T21:37:52.836031+00:00
ChiefState::peace::norm1000::State::peace::norm1000,ChiefState::peace::norm1000,State::peace::norm1000,ChiefState,State,peace,peace,pp,State-ChiefState,down,2f55ad8e0d12975cbc48c4a86c17e6ad,"{""C"": 1, ""C_Res"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1, ""P_I"": -1}",1226,7.47,6,10,111.6,1,computed,2026-06-01T21:39:44.477087+00:00
ChiefState::peace::norm1000::State::conflict::norm1000,ChiefState::peace::norm1000,State::conflict::norm1000,ChiefState,State,peace,conflict,pc,State-ChiefState,down,57d2277f9b3565e7a1e96785b6951e59,"{""Res"": -1, ""C"": 1, ""C_Res"": -1, ""X"": 1, ""G"": 1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""L"": -1, ""I_Res"": -1, ""I"": -1, ""P_I"": -1}",2153,7.89,6,11,161.2,1,computed,2026-06-01T21:42:25.714845+00:00
ChiefState::conflict::norm1000::State::peace::norm1000,ChiefState::conflict::norm1000,State::peace::norm1000,ChiefState,State,conflict,peace,cp,State-ChiefState,down,a46d0acbce48f88f6d076fa80e111caf,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""L"": 1, ""I_Res"": 1, ""I"": 1}",1060,9.36,7,11,117.6,1,computed,2026-06-01T21:44:23.325502+00:00
ChiefState::conflict::norm1000::State::conflict::norm1000,ChiefState::conflict::norm1000,State::conflict::norm1000,ChiefState,State,conflict,conflict,cc,State-ChiefState,down,16ac822d9cd1f90c083d1f1530b43826,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""H"": -1, ""H_Res"": -1, ""P_H"": -1, ""I_Res"": 1, ""I"": 1}",811,7.56,5,10,64.0,1,computed,2026-06-01T21:45:27.385231+00:00
