scenario,climate,security_priority,strategy_name,n_samples,feasibility_rate,ag_reduction_mean,ag_reduction_std,ag_reduction_p5,ag_reduction_p25,ag_reduction_median,ag_reduction_p75,ag_reduction_p95,final_violence_mean,final_violence_p5,final_violence_p95,final_trust_mean,robustness_25,robustness_50
low,0.3,0.0,Pure Development,100,1.0,78.1395604796857,5.632117005329544,67.643538963551,74.82623241843454,78.51720413506496,81.75317100626653,87.00201052520248,0.0012386560742924497,0.000632831080367364,0.0019984776806926054,206.7403667372808,1.0,1.0
low,0.3,0.1,10% Security,100,1.0,80.17411638114584,5.378132621818614,70.47412533849645,77.17062381799576,80.52057166956916,84.3747991906651,87.85310534934892,0.0010109462296899543,0.0005374316673079975,0.001743175963910702,195.3998045479882,1.0,1.0
low,0.3,0.2,20% Security,100,1.0,81.81131767168016,4.752802940401138,72.34899217532636,79.3761364982433,82.14909370148379,85.40592465259132,88.38810782787712,0.0010585557653310462,0.0005900861006691423,0.0017725094519317822,197.34581595105703,1.0,1.0
low,0.3,0.3,30% Security,100,1.0,82.66681473548923,5.591944842129766,72.28530655652649,79.65109438959085,83.20964772580342,86.53501491128064,91.36693191679534,0.0010904222460599515,0.0006137231369674667,0.0019146733067622738,190.80209374457252,1.0,1.0
low,0.3,0.4,40% Security,100,1.0,85.41015245204198,4.415201452618508,78.33363273941886,82.68414859371914,85.83688896730382,88.75840368774497,91.61963108501783,0.0009615406967122714,0.000517250209535923,0.0016715270876540506,188.1565672970071,1.0,1.0
low,0.3,0.5,Balanced,100,1.0,85.6367699992545,4.310564898953191,77.460658413511,83.11118177632316,85.59819837173943,88.89917854782215,91.76845815796084,0.0009071223544978958,0.0005214648058429437,0.001357682494902868,181.04272494920093,1.0,1.0
low,0.3,0.6,60% Security,100,1.0,88.23630497484915,4.02088056817968,79.79823300767177,86.13566065703262,89.08800892999034,90.83420428188357,93.11528346549794,0.0008712207695098162,0.00045486469611565934,0.0013883087531115332,183.07975462727896,1.0,1.0
low,0.3,0.7,70% Security,100,1.0,89.71218939333204,4.161083462901391,82.38363983400102,86.7956459406145,90.76408382106587,92.8839787319393,95.09427158744097,0.0007476274141358641,0.00040791697440319857,0.0011516019179784657,179.51683413552394,1.0,1.0
low,0.3,0.8,80% Security,100,1.0,91.5567268489516,3.222922929232626,86.90308726954723,89.09904072774587,91.36782547565785,94.33510907354842,96.4585376342712,0.0006962414597687808,0.00040804834057446457,0.0010936736459550697,177.33683453847902,1.0,1.0
low,0.3,0.9,90% Security,100,1.0,92.96336962357528,3.0523949451216477,88.24064710346819,91.4213009258258,93.0993335471608,95.63336292601915,97.40844629092716,0.0006555030045520991,0.0003479238961356539,0.001053564893936934,168.18055090237777,1.0,1.0
low,0.3,1.0,Pure Security,100,1.0,94.3567145012345,2.4239685774844117,90.42964039346593,92.29294101631277,94.73597904898979,96.29000689826304,97.73449131042867,0.0005947529261256301,0.0003129309935440736,0.000951239278467478,163.215506804081,1.0,1.0
low,0.5,0.0,Pure Development,100,1.0,78.19202622587946,5.5384247297364935,68.40814083205774,74.25354816059699,77.91600707308358,82.81872071727878,86.31106219122593,0.001086959424341958,0.0005847895872117719,0.0016571702426635118,209.65616946713106,1.0,1.0
low,0.5,0.1,10% Security,100,1.0,79.82767068366165,5.539376695212173,70.91259168664176,75.78397459759341,79.75799534580088,83.85529479682346,89.13045507854257,0.001146377444929374,0.0006584992727146138,0.0017648226708948662,205.80367512889782,1.0,1.0
low,0.5,0.2,20% Security,100,1.0,81.38068772008731,5.344823000021666,71.45759701700845,77.67686675705868,81.80352972897964,85.88499114552404,89.11165622863017,0.000991012447125483,0.0005597746174837312,0.001532242506772802,197.76013465555573,1.0,1.0
low,0.5,0.3,30% Security,100,1.0,83.2817380595714,5.339019464916165,74.76545323913506,79.17643836185721,83.70607828312092,87.25136982869408,91.11602083634733,0.0008990880919510414,0.0004886161848531301,0.0014132157856273006,195.30900967891318,1.0,1.0
low,0.5,0.4,40% Security,100,1.0,84.76136917744398,5.102034906294214,76.541155626,80.75910059269665,85.46487221594913,88.31729261425127,92.26476465388494,0.0008752458120262227,0.00048115885069888604,0.0013242254557549924,193.230104747293,1.0,1.0
low,0.5,0.5,Balanced,100,1.0,86.84266805834746,4.598646489385151,79.50802488211633,83.70161345267766,87.41600449845896,90.47992575327481,92.9532099520646,0.0008281737288183325,0.0004745169326303284,0.0014148448670732762,189.89206324396997,1.0,1.0
low,0.5,0.6,60% Security,100,1.0,88.6488721562384,4.2778778920211575,80.41073751682453,85.85197045526873,89.43003365301192,91.69736118198617,94.65344149789863,0.0007443644237644319,0.0004091804220303043,0.0012657354839647394,189.1275912007219,1.0,1.0
low,0.5,0.7,70% Security,100,1.0,89.86800952182993,4.024207207042559,82.37870033205691,87.55440894792369,90.25167949465744,93.23727367969528,95.70775827538948,0.0006874909222824745,0.00037656081785267877,0.0010705604183598616,181.3967932155879,1.0,1.0
low,0.5,0.8,80% Security,100,1.0,91.92285443616858,3.597678539810131,85.65197927034643,90.13681640063855,92.58156784559722,94.3157208213954,97.05996893734904,0.000632857892158892,0.00036373616593206277,0.0009464288139988773,181.0292404230497,1.0,1.0
low,0.5,0.9,90% Security,100,1.0,93.46594086360955,2.9904833382391685,87.45232679895764,91.64675051667936,94.03767994837602,95.89599359735763,97.62144021250313,0.0005394626577555669,0.00026344819658609186,0.0009310318469965544,177.29637332585236,1.0,1.0
low,0.5,1.0,Pure Security,100,1.0,94.7446974671857,2.5572326469284348,89.39924990829309,93.34156306290059,95.23046327721678,96.69000093350516,97.94521952694102,0.00047954008087680306,0.0002763877895346103,0.0007518437442814441,171.59912570393234,1.0,1.0
low,0.7,0.0,Pure Development,100,1.0,78.32730261046967,5.040308847730844,70.10392063833646,74.49824617481693,78.45273733304751,81.80076960019889,86.44350144961075,0.0009590093013873504,0.0005677493482423919,0.00159240678957867,214.67444011304542,1.0,1.0
low,0.7,0.1,10% Security,100,1.0,81.47056115786258,5.1508444600988925,74.06745402217892,77.51209705779843,80.6238968779326,85.70463037446137,89.68440897975533,0.0009584815019187033,0.000516192712961821,0.0016286337599529153,208.35906989900914,1.0,1.0
low,0.7,0.2,20% Security,100,1.0,81.6860673447677,5.141197484744948,72.64997559417323,78.12496098456748,82.41916902494961,85.79012323088568,89.43234891885692,0.0008640999866311301,0.0004638777466241386,0.001329477839620361,205.71542764470155,1.0,1.0
low,0.7,0.3,30% Security,100,1.0,83.83193259865112,4.877980034268604,76.88845477485107,79.8937942195208,83.91986318880399,87.57284539627565,91.74122864369761,0.0008502683041933177,0.00042531392359774903,0.001389629238871336,202.42603219587645,1.0,1.0
low,0.7,0.4,40% Security,100,1.0,85.51611822374235,4.9423195417973895,76.60216934956664,82.2327866961169,86.15197566581068,89.22695452512016,92.32027841984299,0.0008179909470487258,0.00048312902258779123,0.0012462475085117013,196.47465870224326,1.0,1.0
low,0.7,0.5,Balanced,100,1.0,87.9664369125466,5.092136484734779,76.85820849232405,85.1727367618611,88.30142373082842,91.73312428948563,94.43348185184627,0.0007557535268281078,0.00043423151316969596,0.0011722929904024963,195.2240545406691,1.0,1.0
low,0.7,0.6,60% Security,100,1.0,89.76829281865759,3.8072765261490913,83.11528504405979,87.32403824098776,90.40811832904957,92.5125614717679,95.28600166547592,0.0006968189596296787,0.00032748443051967325,0.0011243890355337783,196.82614961556416,1.0,1.0
low,0.7,0.7,70% Security,100,1.0,90.7191757447123,4.328730559899576,82.84855085112254,88.0271516147883,91.80197423170661,94.29467596320653,96.37813350619766,0.0006341432415052234,0.0003357129180139548,0.0010090933064242117,190.96615673945598,1.0,1.0
low,0.7,0.8,80% Security,100,1.0,92.0424962804668,3.7670675568651566,86.01780908739909,89.34907721900873,92.66776887007086,94.36421423846427,97.68139813918107,0.0005482972458198511,0.00029424822883087026,0.000854964824929674,186.97158698987224,1.0,1.0
low,0.7,0.9,90% Security,100,1.0,93.68056702906716,3.3534500980651414,87.83043744966974,91.01162538316541,94.35855548665248,96.44495748151371,97.7457877751277,0.0004955499765120494,0.00025460152275681876,0.0008410957172415606,182.98418225815442,1.0,1.0
low,0.7,1.0,Pure Security,100,1.0,95.2335129820804,2.798125923662125,90.01832502715321,93.73423803359503,95.92907224656845,97.63917720054076,98.70664383321068,0.0004231126416391058,0.00020463783244788395,0.0006717165027050959,174.2208557682926,1.0,1.0
medium,0.3,0.0,Pure Development,100,1.0,69.8092917680145,5.834381776317227,60.64382210908085,65.67837837792023,69.972769644715,74.23384658366105,79.3519856828792,0.0010962172220071846,0.0006334143268172411,0.0017126518494105982,105.27518663337854,1.0,1.0
medium,0.3,0.1,10% Security,100,1.0,71.64532963019008,6.1761851580958576,63.143426896087526,66.66274663356725,70.56377031918149,76.89975342617385,81.91030053140385,0.0010383201263323588,0.0005752705504582384,0.0017167724353152568,107.49305362056757,1.0,1.0
medium,0.3,0.2,20% Security,100,1.0,73.87311530686394,5.814867212654951,64.28049537033918,69.92400962464114,74.58601652426913,77.61731704094078,82.49957082357875,0.001058293074315023,0.0005854033353439477,0.0015500635914528942,104.54824574743661,1.0,1.0
medium,0.3,0.3,30% Security,100,1.0,73.07728544750469,5.60029579926409,63.89810201801972,68.67030709564894,72.74421279952145,77.3335834827844,82.53662959416151,0.0010756658189923656,0.0005753665030145116,0.001744662641377397,105.6694235499952,1.0,1.0
medium,0.3,0.4,40% Security,100,1.0,75.3319227690631,5.374046718576874,67.24195578430007,71.85332101134452,75.02088659091882,79.26119764065993,83.19330065015505,0.0010781003731295661,0.0005903463882424972,0.0017465536638866831,103.811001334367,1.0,1.0
medium,0.3,0.5,Balanced,100,1.0,76.89415223929637,5.781199554937814,67.86972620415642,72.5125910992421,77.8054249790759,80.95707133705379,84.82452134566888,0.0010854539823041396,0.0006323270619966428,0.0017960841962972403,102.37145065367778,1.0,1.0
medium,0.3,0.6,60% Security,100,1.0,78.02258913822916,5.466972025141086,69.410812259861,73.37302682396653,78.51504066963929,81.92574349615563,86.78668591602445,0.0011110855316994353,0.0005010950410526744,0.001876326453636507,100.80535060340242,1.0,1.0
medium,0.3,0.7,70% Security,100,1.0,79.2380361010693,4.807714003932838,70.97752312037255,75.96628016596729,79.12271431909315,82.40281050561771,86.41786385480286,0.0011378820104761208,0.0005902442506698071,0.0021271951901213637,100.38134273648849,1.0,1.0
medium,0.3,0.8,80% Security,100,1.0,81.1309938416342,4.930589120143883,73.02007279962615,77.76396822242857,81.42169108662844,84.3485738932852,89.03886355186751,0.001087724304058151,0.0005828416223726363,0.0017336732539832758,98.8849196691313,1.0,1.0
medium,0.3,0.9,90% Security,100,1.0,82.89105532872028,4.771568576631011,74.56239682234666,80.08365650117287,83.34085692709972,86.38582129209053,89.99533623708825,0.0011228408945411843,0.0005886719407165201,0.0019688721425805203,93.60479071381906,1.0,1.0
medium,0.3,1.0,Pure Security,100,1.0,85.42035826741176,4.460056586107254,77.95626379126301,82.70693176028945,85.87001776030189,88.81820140568645,91.6744696366056,0.0010664832310043656,0.0005697763495800821,0.0017346826748981777,91.52077904121974,1.0,1.0
medium,0.5,0.0,Pure Development,100,1.0,69.78649982610827,6.271104206680615,59.14714542195107,65.0040903699275,69.85378923570649,74.4293744446696,79.85642230322884,0.0010123654115553376,0.0006088248645506044,0.001537723220125765,106.8503277896802,1.0,1.0
medium,0.5,0.1,10% Security,100,1.0,70.96700761370585,6.158378270200359,61.11670755111409,65.68420844999402,71.65174475493356,75.4058819071348,80.95463165671174,0.0010137457930078386,0.0005271649807021952,0.001685160689830519,105.94053462011924,1.0,1.0
medium,0.5,0.2,20% Security,100,1.0,71.95765980251309,5.490819478516519,62.437200017813865,68.96674177013529,72.43382312059504,75.94123750695556,80.62394064506783,0.0010463643333766108,0.0006101156235766214,0.0016271134288945409,106.50143409639738,1.0,1.0
medium,0.5,0.3,30% Security,100,1.0,74.65099245867475,5.186074906618645,64.99782933453663,71.53450105395473,74.65408727267072,77.60716356775741,83.08964100721099,0.0010558122513760438,0.0005294168864992731,0.0016965882288331035,107.43800942778353,1.0,1.0
medium,0.5,0.4,40% Security,100,1.0,75.20030107601288,5.335804400615417,65.81521432562612,71.07957864957939,75.13168031548341,79.29846052737255,83.72793768813776,0.0009612671817036085,0.0005725327708307119,0.0017284814171034265,106.46982868493672,1.0,1.0
medium,0.5,0.5,Balanced,100,1.0,77.33831359547895,5.233530272905,68.5291370569019,73.51700730945674,77.64247100349664,81.3198859375918,85.67458239378902,0.0009513664319325157,0.000552428862452348,0.0015131173010671816,104.71490130102602,1.0,1.0
medium,0.5,0.6,60% Security,100,1.0,79.24077802367356,4.66648966628499,70.14970181179739,76.73603936080346,79.88397735889247,82.73835883685797,85.68126711906159,0.0009404495359644413,0.000533954413390329,0.0015003920087724085,105.36218744977849,1.0,1.0
medium,0.5,0.7,70% Security,100,1.0,80.55043166973807,4.731969368759755,73.17297920650113,77.39098713341438,80.36496086077943,83.83101820641889,87.49235150942636,0.0009922976771649613,0.00048223048180806257,0.0016065650758381605,103.44484420735076,1.0,1.0
medium,0.5,0.8,80% Security,100,1.0,81.42295040339661,4.979447389551221,72.21272965363852,78.07354411921543,82.09081062437173,84.76549980671885,88.96538275330863,0.0009803878977636864,0.0005385293195802129,0.0015425286452136746,102.25257942991176,1.0,1.0
medium,0.5,0.9,90% Security,100,1.0,83.91168308205754,5.17968923220382,73.47276548796692,80.97566361640345,84.7810342698763,87.4458138847635,91.54824141271958,0.0009197832789723971,0.00047668319904137354,0.0014172616523782577,100.21949704569295,1.0,1.0
medium,0.5,1.0,Pure Security,100,1.0,86.38521861289318,3.7563999025761774,80.49726974262505,83.80700449453565,86.7838183862142,88.83874480045935,92.42255240746199,0.0009415828012847958,0.0005096678984416738,0.0015427431299839451,94.64285435488164,1.0,1.0
medium,0.7,0.0,Pure Development,100,1.0,70.91607672209146,5.633092982061819,61.29136741917416,66.2963073969041,71.26339027586043,74.77504842139635,79.63684757214045,0.00091547453928595,0.0005105498621971038,0.0013105956032868303,110.47339365167878,1.0,1.0
medium,0.7,0.1,10% Security,100,1.0,71.8388636034497,5.771908688875448,61.81571088577933,68.16628697351365,72.83141323990517,76.14528934961932,80.1616818563456,0.0009303483015511101,0.0005928949323242616,0.001376777216112194,111.7314286373608,1.0,1.0
medium,0.7,0.2,20% Security,100,1.0,73.94486234243696,5.30286674783858,65.60881581174334,69.57988860264635,74.3043345584906,78.28646354730566,81.70851178395178,0.0009012534470747341,0.000551338668293191,0.0012954634814077457,110.27618747994285,1.0,1.0
medium,0.7,0.3,30% Security,100,1.0,75.83021862165778,5.459325897035401,67.35647311965037,71.39955954287099,76.90318386458598,79.88245904029662,83.78616541652862,0.0009076005707697381,0.0005128315329006963,0.001569953530669294,107.93611301672587,1.0,1.0
medium,0.7,0.4,40% Security,100,1.0,76.31274194323424,5.735502473994949,65.64080990410986,72.47644797249646,76.16498856098956,81.12128823457637,84.27774668713417,0.0009357463075536879,0.0005773164950452955,0.0015834463596061052,108.57970712922788,1.0,1.0
medium,0.7,0.5,Balanced,100,1.0,77.78630380954657,5.207031068012639,69.23166128899764,74.21557999238348,78.84262525351852,81.49361475553653,85.29329171140698,0.0009128179561994243,0.0005309384281332149,0.0014272729809793683,109.14401194675051,1.0,1.0
medium,0.7,0.6,60% Security,100,1.0,78.25622439286667,5.031812423915317,69.98431826229604,74.7354134848967,78.63998233475624,81.27952781432786,86.05576761009631,0.0009560154975424031,0.00048429827757970974,0.0014202743431094202,107.69121782947944,1.0,1.0
medium,0.7,0.7,70% Security,100,1.0,80.6491563439582,4.767467320713955,72.59584531503461,78.09802998743994,80.37694315295879,84.49597396643642,86.55918084724826,0.0009093193209719754,0.0005967973685124841,0.0012558221387800775,107.15972834777104,1.0,1.0
medium,0.7,0.8,80% Security,100,1.0,82.34513536954222,4.560070385908215,75.5250932310942,79.00704046254495,82.0560316951171,85.82410943908377,90.01140674305242,0.0008451009217936423,0.0005257902990508433,0.001327219052193095,104.8517188035602,1.0,1.0
medium,0.7,0.9,90% Security,100,1.0,84.54052751280774,4.1544332932909835,75.46521403266668,82.63595546404764,84.60105724582061,87.78997232851324,90.26763450771185,0.0009399595538542465,0.0005235245146496462,0.0014910576385660666,102.06533641123016,1.0,1.0
medium,0.7,1.0,Pure Security,100,1.0,86.92311822763777,4.776163748334263,78.89823027558424,83.35972303322208,87.78645664892639,90.9211205954992,93.68237413910269,0.0008430561894218992,0.00042028386238371286,0.0014010408790793166,100.9480887057176,1.0,1.0
severe,0.3,0.0,Pure Development,100,1.0,56.873594181651654,9.659121248180686,42.39989224500679,49.251404345538184,57.43711155084905,64.09233913616626,71.72611590761156,0.0019761893065018813,0.0011014728971668968,0.0034757278132471607,36.73615827825467,1.0,0.72
severe,0.3,0.1,10% Security,100,1.0,61.38003625938404,8.358162411582336,49.57718204627223,54.92575357848141,61.396386067408635,67.06543048479215,75.92071650828834,0.0018209111822408992,0.0010088184801005247,0.002907094100024529,37.752417861803075,1.0,0.93
severe,0.3,0.2,20% Security,100,1.0,61.63627869902156,6.972418704192203,49.812016031396645,57.59606651803813,61.84917149291488,66.90517195087106,72.7179174276776,0.0019196188482123267,0.000998235692115102,0.0030298856964543915,36.85053843415869,1.0,0.94
severe,0.3,0.3,30% Security,100,1.0,64.3757950248166,8.095841434066253,49.891556722048534,58.262518872565515,64.83808079760796,70.69588319402979,76.35941673923666,0.0019013748216173373,0.0009303864051799553,0.0037473057774445153,35.51777758335188,1.0,0.94
severe,0.3,0.4,40% Security,100,1.0,65.94231027433509,7.096664353436156,55.687445153833906,60.65757741163831,65.53673512175764,71.47923315279641,77.74849757946443,0.0019216206715402348,0.0009533183817663204,0.0029188769037968125,33.38924440415004,1.0,0.99
severe,0.3,0.5,Balanced,100,1.0,67.39547657766299,6.389355806544983,55.94127874001163,62.652542305683966,68.45129829682489,71.96919491771018,76.23196787066549,0.0018988026899608176,0.0009127087314918562,0.003330013631119681,34.93673162643282,1.0,1.0
severe,0.3,0.6,60% Security,100,1.0,67.39539791878715,6.5365592140007385,56.780172188794914,63.715701644522085,68.12496319923086,71.98535082203028,77.11657264081495,0.0021395098025679686,0.001102325206115793,0.0038006851346528117,31.233687694118434,1.0,0.99
severe,0.3,0.7,70% Security,100,1.0,71.57012727095517,6.417700890846556,60.65369986082564,66.41168959839283,72.15639451025315,76.4302519420611,81.38768705827904,0.0020598740695253245,0.0010821238251874773,0.0036919815079165604,32.01331064535081,1.0,1.0
severe,0.3,0.8,80% Security,100,1.0,72.06405139557134,6.234951834040795,61.672357925009095,67.8035387930232,72.584894302521,76.99513024951415,81.00401210502113,0.0022586223445465394,0.0010043923890607714,0.00435104144052987,32.286204415181864,1.0,1.0
severe,0.3,0.9,90% Security,100,1.0,72.56416072113616,6.504155258394035,58.75327456993197,68.67908081910883,72.66711099244729,77.23639534828146,81.85611458534396,0.002046826177158465,0.000997520133681262,0.0035992047877251424,31.455884894684164,1.0,1.0
severe,0.3,1.0,Pure Security,100,1.0,74.3207744153648,6.009632533461896,63.628618180303896,70.48286720811998,75.0676651435119,77.92487035024075,83.41712006988736,0.002373167783945175,0.0010924653819585183,0.004801486262079463,28.15832639378812,1.0,1.0
severe,0.5,0.0,Pure Development,100,1.0,54.69475881665394,9.15749203104727,40.01294705857865,48.35107798027794,53.98861577486966,61.586671090269604,70.38916296733221,0.0016880949687601743,0.0008938761255469247,0.002759452912489257,38.52055375306323,1.0,0.69
severe,0.5,0.1,10% Security,100,1.0,58.21283870668631,9.70200949118963,43.33717577877864,51.79131364688907,57.98497220196083,65.42057889162606,74.78256014289254,0.001671347341768178,0.0008110239973308659,0.0028084767005372283,38.181901208250196,1.0,0.77
severe,0.5,0.2,20% Security,100,1.0,63.137951920915505,8.13207292272945,48.92667939202603,58.119529360370166,63.94947353593217,68.26640232941178,76.93856737292252,0.001584964865258967,0.000885158727485133,0.0024909659648343764,39.01977071593672,1.0,0.92
severe,0.5,0.3,30% Security,100,1.0,65.16340195703485,6.960557132633,53.82566237895531,59.982587774158645,65.43960631416053,70.26117397440392,75.98460679097286,0.0016955052088076209,0.0009497325129887263,0.0027195702266863122,36.935396065947145,1.0,1.0
severe,0.5,0.4,40% Security,100,1.0,67.4068392414878,7.233199019771355,54.97796534107908,63.972906236234536,67.89824888349962,72.2109968127106,76.48272325971098,0.0017311271043650917,0.0009064632730379707,0.0032024323390369733,37.54485787903666,1.0,0.98
severe,0.5,0.5,Balanced,100,1.0,67.47704538507645,8.03646393248133,52.72393049079314,62.776908886366954,68.84113653727727,72.92604051181557,78.01892610859423,0.0017211631341215975,0.0008800183727237174,0.0027120589100612705,37.15976176311005,1.0,0.97
severe,0.5,0.6,60% Security,100,1.0,67.41742439428164,8.470932637561221,54.09531100161022,60.57151577041593,67.59972283578453,74.3803970417789,79.75421551172175,0.001816509204145364,0.001020054272951552,0.0033578418871815746,33.40109385231177,1.0,0.99
severe,0.5,0.7,70% Security,100,1.0,69.62367640800036,6.060991331428003,59.44422489225107,65.3672808821075,69.36637543842352,74.08020764612309,79.60626706477544,0.0017581560559521909,0.0009027591078971517,0.002956838559060173,35.034559695296686,1.0,1.0
severe,0.5,0.8,80% Security,100,1.0,71.95890941690371,6.175911055696139,60.940419251830484,68.77885342912319,72.06591445403902,75.9436133592204,81.48120463219523,0.0019415847118378247,0.0010324668875660485,0.0036822474036606553,32.45505458008031,1.0,1.0
severe,0.5,0.9,90% Security,100,1.0,72.12487135389107,6.040733129958609,60.99060560713292,68.58978742978164,72.65962258726329,75.77120529895687,81.73346725334389,0.0019092041681011127,0.000974494726750513,0.003513775206076666,32.016821889930455,1.0,1.0
severe,0.5,1.0,Pure Security,100,1.0,75.99434692043396,6.25297772495658,66.05020109107906,71.66056386393176,76.6050554245993,80.77031866662159,85.25547675274956,0.0020532076116662233,0.001076110325091954,0.00348704234628821,29.471217602911164,1.0,1.0
severe,0.7,0.0,Pure Development,100,1.0,56.15269929242734,8.476173769590218,42.56743247568283,49.610603895383775,56.92892538482669,62.011443397890176,68.78590399797031,0.0015317205705023785,0.000902547455558252,0.0023143159358566304,38.029255966614535,1.0,0.74
severe,0.7,0.1,10% Security,100,1.0,60.42002950280952,8.09095759586314,44.016851360010655,56.414104845259104,60.82358943200907,65.92180276863763,70.59670448830587,0.001434882623194243,0.0008362285684157793,0.002224150626399532,41.05351367864623,1.0,0.89
severe,0.7,0.2,20% Security,100,1.0,62.31645071428211,8.012594812513253,48.08560406181633,56.51966743893965,61.77373714506401,67.83279026618396,75.59500691412833,0.0014960492933264375,0.0007494783786327937,0.0026635980392899026,40.236168262725556,1.0,0.92
severe,0.7,0.3,30% Security,100,1.0,64.18883808227147,7.823565370952974,49.9291218946853,58.45673295079277,65.11341172407865,70.45712983004849,75.2601276303763,0.00150318705755798,0.0008033440617716936,0.002490211935098155,39.799798689040934,1.0,0.94
severe,0.7,0.4,40% Security,100,1.0,67.57158005638935,6.817674664999002,55.83229231433705,62.50303037941626,68.9385027394149,72.1523131380271,77.50783368201418,0.001659685376815001,0.0008932266945315376,0.00267398406188671,38.37669957795881,1.0,1.0
severe,0.7,0.5,Balanced,100,1.0,69.01359308174719,6.221584024336339,59.24904393364743,64.65012063306132,68.88017017810702,74.2214650956749,78.1571765705277,0.0015660019908410234,0.0008269496073609648,0.002503949417529878,40.323318495320905,1.0,1.0
severe,0.7,0.6,60% Security,100,1.0,69.44134313242667,6.630926871110872,59.30274076666876,64.74684984074207,70.50683396023123,74.77482137480162,78.61438879764792,0.0016715998744130935,0.0008309495725315422,0.0028494814097652214,37.872302730169125,1.0,0.99
severe,0.7,0.7,70% Security,100,1.0,70.98784651160778,6.120616631902392,60.9171903015591,66.46953072975509,70.78187020094535,75.14975263637905,81.11699719695326,0.0016806961940526047,0.0008602055298808164,0.00277225937153464,36.145807812434306,1.0,1.0
severe,0.7,0.8,80% Security,100,1.0,71.51250314637582,6.649343512533894,59.26243040913505,67.98018162214596,72.13130243992543,76.86898690703558,81.35171898567249,0.0018134381660735897,0.0009120508285749083,0.0031052138586735,36.34035694077374,1.0,1.0
severe,0.7,0.9,90% Security,100,1.0,73.34963051384825,6.544867237149844,62.25005615664093,69.89983714474212,73.5712767006051,78.13234082146666,83.6090227218656,0.0018103874778989714,0.0008980618517427767,0.003164337379095751,34.39720818886108,1.0,1.0
severe,0.7,1.0,Pure Security,100,1.0,73.59672028732011,6.617206030454236,62.74058449678558,68.18619810433407,75.06303035174932,78.22224103653421,83.51322658623269,0.0018870761104142512,0.0008653606035233057,0.0035148819714148636,31.850086813230458,1.0,1.0
